Company Name,ISO Country Code,Country,City,Address,NACE Rev. 2 Code principal,"NACE Principal Rev. 2, description",Sector,Main activity,Description in English,Website,"Operating result [=EBIT] mEUR 2021","Operating result [=EBIT] mEUR 2020","Operating result [=EBIT] mEUR 2019","Turnover mEUR 2021","Turnover mEUR 2020","Turnover mEUR 2019",Availability of financial data,2 years of consecutive losses,Average loss over 3 years
MEGACALZADO PAMPLONA SL,ES,Espagne,ORKOIEN,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the wholesale and retail distribution of footwear for all ages,Wholesale; Retail,Engaged in the wholesale and retail distribution of footwear for all ages [source: Bureau van Dijk],www.megacalzado.com,0.0,0.0,0.0,5,4,6,YES,NO,NO
HIJOS DE FRANCISCO LOPEZ SANTA CRUZ SA,ES,Espagne,LAS PALMAS DE GRAN CANARIA,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,"Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear for men, women and children",Retail,"Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear for men, women and children [source: Bureau van Dijk]","www.buylopez.es",0.0,-1.0,0.0,5,5,10,YES,NO,YES
OSMOTEX OY,FI,Finlande,PIEKSAMAKI,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail distribution of knitted and crocheted apparel,Retail,"Yhtion toimialana on tekstiili- ja vaatetavaroiden, jalkineiden, elektroniikka-, lahja-, urheilu- ja tavaratalotuotteiden valmistus, vahittais- ja tukkukauppa seka tuonti- ja vientiagentuurien hoitaminen, arvopapereiden, kiinteistojen, taide-esineiden ostaminen, omistaminen, myyminen ja valittaminen seka yritysten, autojen ja tyokoneiden ja niihin kuuluvien laitteiden osto, saneeraus, omistaminen, myynti ja vuokraus seka muu laillinen liiketoiminta.","www.osmotex.com",0.0,0.0,0.0,5,5,5,YES,YES,
JORDANS EOOD,BG,Bulgarie,PLOVDIV,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail distribution of footwear,Retail,Engaged in the retail distribution of footwear [source: Bureau van Dijk],www.paolobotticelli.com,0.0,0.0,0.0,5,4,7,YES,NO,NO
"MACHADO - JOALHEIRO, S.A.",PT,Portugal,PORTO,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the retail sale of jewelry, watches, precious stones, and precious metals",Retail,"Engaged in the retail sale of jewelry, watches, precious stones, and precious metals [source: Bureau van Dijk]",www.machadojoalheiro.com,0.0,0.0,0.0,5,5,8,YES,NO,NO
MODA'S SRL,IT,Italie,POSSAGNO,VIA SCHIAVONESCA MAROSTICANA 14,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the sale of apparel for men and women,Retail,Engaged in the sale of apparel for men and women [source: Bureau van Dijk],www.modasboutique.com,0.0,0.0,0.0,5,5,4,YES,NO,NO
"M.J.J.S. - COMERCIO DE VESTUARIO, S.A.",PT,Portugal,PEREIRA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail distribution of a wide range of clothing for women,Retail,Engaged in the retail distribution of a wide range of clothing for women [source: Bureau van Dijk],"www.flordamoda.pt",-1.0,-1.0,-1.0,5,4,8,YES,YES,
LEDER & SCHUH D.O.O.,HR,Croatie,ZAGREB,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear and leather goods,Retail,buying and goods;performance of commercial mediation in domestic and international market purchases and sales of goods;Brands:;Corti;Dominici;Humanic;Jello;Shoe 4 you;The commercial activity started in 2009.,www.lsag.com,0.0,-1.0,0.0,5,5,6,YES,YES,
AKSIOM,RU,Fédération de Russie,NOVOSIBIRSK,"PR-KT DIMITROVA D. 1, OFFICE 5",4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail trade of grocery products,Retail,Engaged in the retail trade of grocery products [source: Bureau van Dijk],www.avsu.ru,1.0,1.0,1.0,5,5,5,YES,NO,NO
30GRADI S.R.L.,IT,Italie,ROMA,VIA DEI MONTI DELLA FARNESINA 79,4771,Commerce de détail d'habillement en magasin spécialisé,Operates as a clothing store,Retail,Operates as a clothing store [source: Bureau van Dijk],"www.museumtheoriginal.com",0.0,0.0,1.0,5,7,6,YES,NO,NO
INCATASCIATO GROUP S.R.L.,IT,Italie,MISTERBIANCO,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation of a chain of family clothing stores,Retail,Engaged in the operation of a chain of family clothing stores [source: Bureau van Dijk],No Website,0.0,0.0,0.0,5,4,8,YES,YES,
RISCHIO S.R.L.,IT,Italie,LATISANA,VIA LOVADINA 49,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail distribution of ready-made clothing,Retail,Engaged in the retail distribution of ready-made clothing [source: Bureau van Dijk],www.risskio.it,0.0,-1.0,0.0,4,4,11,YES,YES,
MARMON SPORTS,FR,France,AUBERVILLIERS,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail trade of sporting goods and equipment,Retail,Engaged in the retail trade of sporting goods and equipment [source: Bureau van Dijk],marmonsports.com,0.0,0.0,0.0,4,5,6,YES,NO,NO
MODA CENTER S.R.L.,IT,Italie,TREVIGNANO,VIA TREVISO 71,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail trade of wearing apparel and accessories,Retail,Engaged in the retail trade of wearing apparel and accessories [source: Bureau van Dijk],"www.puntoettore.it",-2.0,-5.0,0.0,4,5,8,YES,YES,
BIJOUX BOUTIQUE,FR,France,STRASBOURG,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Operates as a retailer of miscellaneous shopping goods,Retail,Operates as a retailer of miscellaneous shopping goods [source: Bureau van Dijk],www.boutiquesobijoux.com,1.0,1.0,0.0,4,5,5,YES,NO,NO
ZETEK SRL,IT,Italie,CERVIA,VIALE ROMAGNA 69/71,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the manufacture and retail sale of clothing products in Italy,Manufacturing; Retail,Engaged in the manufacture and retail sale of clothing products in Italy [source: Bureau van Dijk],"www.tezuk.com",0.0,0.0,0.0,4,4,5,YES,NO,NO
WADEL S.R.L.,IT,Italie,CAGLIARI,VIA DEL RISORGIMENTO 5,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Primarily engaged in the retail sale of footwear products,Retail,Primarily engaged in the retail sale of footwear products [source: Bureau van Dijk],www.cralregionesardegna.it/?p=2693,0.0,0.0,1.0,4,6,10,YES,NO,NO
